FECHA,HORA,ACO,ATI,CAM,CHO,CCA,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,MON,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TLA,TLI,TPN,UAX,UIZ,VIF,XAL
25/08/2014,18,1,4,2,1,2,10,2,7,-99,1,2,-99,2,-99,1,3,-99,7,1,-99,2,4,1,3,2,1,1,2
25/08/2014,19,1,1,2,1,1,4,1,2,-99,1,2,-99,2,-99,1,2,-99,2,1,-99,2,3,1,1,1,1,1,1
25/08/2014,20,1,1,1,1,1,1,2,2,-99,1,1,-99,2,-99,1,1,-99,1,0,-99,1,3,1,1,1,1,1,1
25/08/2014,21,1,1,1,1,1,1,1,2,-99,0,1,-99,1,-99,1,1,-99,1,0,-99,1,2,1,1,1,1,1,1
25/08/2014,22,1,1,1,1,1,1,1,2,-99,1,1,-99,2,-99,1,1,-99,1,0,-99,1,3,1,1,1,1,1,1
25/08/2014,23,0,0,1,1,1,0,1,2,-99,0,1,-99,1,-99,0,1,-99,1,0,-99,1,4,1,1,1,1,1,1
25/08/2014,24,0,1,1,1,1,0,0,2,-99,1,1,-99,1,-99,0,1,-99,1,0,-99,1,2,1,1,1,1,1,1
26/08/2014,1,0,0,1,1,1,-99,0,2,1,1,1,-99,2,-99,0,1,-99,1,0,-99,1,2,1,1,1,1,1,1
26/08/2014,2,0,0,1,0,1,-99,0,2,1,1,2,-99,2,-99,1,1,-99,1,1,-99,1,2,1,1,1,1,1,1
26/08/2014,3,0,0,1,0,1,0,0,1,2,1,1,-99,2,-99,0,1,-99,1,1,-99,1,3,1,1,1,1,1,3
26/08/2014,4,1,0,3,0,1,0,0,2,2,1,1,-99,2,-99,1,1,-99,1,1,-99,1,3,3,1,1,1,2,2
26/08/2014,5,1,4,4,1,1,0,0,3,3,2,2,-99,4,-99,1,1,-99,1,2,-99,1,6,4,1,1,1,2,4
