FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,GAM,HGM,INN,MER,MGH,NEZ,PED,SAG,SFE,SJA,TLA,UAX,UIZ,XAL,,,,,,,
05/01/2015,24,-99,-99,-99,13,9,9,-99,17,-99,17,10,7,6,8,12,5,-99,11,19,-99,,,,,,,
06/01/2015,1,-99,-99,-99,16,9,9,-99,16,-99,15,8,15,16,12,8,5,-99,7,20,-99,,,,,,,
06/01/2015,2,-99,-99,-99,15,7,9,-99,15,-99,24,9,13,-99,11,6,17,-99,11,9,-99,,,,,,,
06/01/2015,3,-99,-99,-99,20,6,-99,-99,18,-99,21,6,15,17,21,6,11,-99,8,11,-99,,,,,,,
06/01/2015,4,-99,-99,-99,20,10,-99,-99,27,-99,20,4,8,21,32,8,12,-99,20,11,-99,,,,,,,
06/01/2015,5,-99,-99,-99,24,13,9,-99,24,-99,18,9,17,15,27,12,16,-99,36,17,-99,,,,,,,
06/01/2015,6,-99,-99,-99,30,11,11,-99,14,-99,24,8,23,20,34,7,23,-99,22,21,-99,,,,,,,
06/01/2015,7,-99,-99,-99,34,14,18,-99,22,-99,41,18,27,1,33,9,25,-99,16,24,-99,,,,,,,
06/01/2015,8,-99,-99,-99,46,12,31,-99,42,-99,37,24,33,9,19,10,34,-99,21,23,-99,,,,,,,
06/01/2015,9,-99,-99,-99,63,23,62,-99,50,-99,43,34,38,28,32,6,34,-99,29,41,-99,,,,,,,
06/01/2015,10,-99,-99,-99,80,52,74,-99,74,-99,75,56,48,61,55,3,52,-99,57,58,-99,,,,,,,
06/01/2015,11,-99,-99,-99,70,49,66,-99,74,-99,76,40,60,59,45,12,52,-99,44,61,-99,,,,,,,
06/01/2015,12,-99,-99,-99,32,36,42,-99,56,-99,52,21,38,28,50,10,23,-99,37,37,-99,,,,,,,
06/01/2015,13,-99,-99,-99,29,11,31,-99,48,-99,37,19,24,26,56,23,24,-99,22,42,-99,,,,,,,
06/01/2015,14,-99,-99,-99,28,11,27,-99,12,-99,39,21,26,20,28,8,22,-99,24,34,-99,,,,,,,
06/01/2015,15,-99,-99,-99,34,15,26,-99,8,-99,33,26,18,38,30,11,18,-99,21,36,-99,,,,,,,
06/01/2015,16,-99,-99,-99,24,16,33,-99,24,-99,30,27,12,26,-99,45,10,-99,18,33,-99,,,,,,,
06/01/2015,17,-99,-99,-99,12,19,24,-99,7,-99,10,16,-99,28,-99,16,3,-99,26,18,-99,,,,,,,
06/01/2015,18,-99,-99,-99,6,12,7,-99,1,-99,12,12,-99,12,14,13,-99,-99,14,10,-99,,,,,,,
06/01/2015,19,-99,-99,-99,11,2,6,-99,6,-99,11,9,6,17,4,14,8,-99,-99,2,-99,,,,,,,
06/01/2015,20,-99,-99,-99,14,6,5,-99,11,-99,7,4,9,8,2,9,6,-99,-99,4,-99,,,,,,,
06/01/2015,21,-99,-99,-99,13,9,9,-99,14,-99,10,6,10,8,10,6,-99,-99,6,11,-99,,,,,,,
06/01/2015,22,-99,-99,-99,13,4,7,-99,7,-99,7,5,5,6,8,-99,8,-99,4,16,-99,,,,,,,
06/01/2015,23,-99,-99,-99,10,4,4,-99,5,-99,10,6,10,8,6,6,9,-99,5,7,-99,,,,,,,
06/01/2015,24,-99,-99,-99,14,8,6,-99,7,-99,5,11,4,12,-99,5,3,-99,2,6,-99,,,,,,,
07/01/2015,1,-99,-99,-99,14,1,9,-99,10,-99,3,11,13,10,-99,9,8,-99,5,8,-99,,,,,,,
07/01/2015,2,-99,-99,-99,9,9,14,-99,12,-99,6,8,10,5,-99,10,11,-99,9,10,-99,,,,,,,
07/01/2015,3,-99,-99,-99,5,6,12,-99,3,-99,17,10,8,11,-99,10,6,-99,10,5,-99,,,,,,,
