FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,HGM,INN,IZT,MER,MGH,PED,SAG,SFE,SUR,TAH,TLA,TLI,UIZ,VIF,XAL,,,
06/06/2015,18,18,23,31,-99,42,27,11,24,20,29,-99,-99,49,21,21,42,14,41,12,16,59,43,20,40,,,
06/06/2015,19,21,25,11,-99,19,40,19,7,26,34,-99,-99,29,27,39,23,36,16,30,18,5,42,1,22,,,
06/06/2015,20,11,16,23,-99,15,1,25,13,7,27,-99,-99,30,28,27,17,36,19,30,17,16,39,6,17,,,
06/06/2015,21,6,5,1,-99,14,21,3,11,10,15,-99,-99,21,24,29,9,10,1,20,25,7,17,12,18,,,
06/06/2015,22,4,12,1,-99,18,16,10,10,19,19,-99,-99,18,16,23,16,10,1,2,27,4,31,2,6,,,
06/06/2015,23,9,13,2,-99,15,29,5,9,4,23,-99,-99,12,18,20,17,-99,13,1,18,12,24,1,17,,,
06/06/2015,24,6,14,8,-99,17,20,11,4,10,16,-99,-99,22,16,13,14,13,11,2,26,10,15,11,17,,,
07/06/2015,1,10,10,1,-99,9,11,6,-99,13,19,-99,-99,26,20,24,27,18,1,20,24,2,16,4,25,,,
07/06/2015,2,14,11,14,-99,19,3,15,21,9,23,-99,-99,11,17,20,20,18,14,23,15,34,18,16,17,,,
07/06/2015,3,12,12,8,-99,27,1,19,13,17,18,-99,-99,37,19,20,29,13,16,10,25,7,27,-99,27,,,
07/06/2015,4,14,14,5,-99,22,21,8,15,18,31,-99,-99,32,23,24,24,18,20,27,39,6,29,6,41,,,
07/06/2015,5,16,17,16,-99,32,15,17,22,17,30,-99,-99,37,21,28,22,4,19,23,31,17,41,18,39,,,
07/06/2015,6,19,17,14,-99,33,7,13,21,22,36,-99,-99,40,25,41,23,8,18,17,40,17,40,22,36,,,
07/06/2015,7,14,20,19,-99,31,25,11,22,25,32,-99,-99,40,22,27,28,27,24,25,43,29,25,22,44,,,
07/06/2015,8,17,18,20,-99,29,20,15,4,28,40,-99,-99,43,23,22,20,17,17,32,54,45,50,35,41,,,
07/06/2015,9,6,25,11,-99,26,29,28,23,35,31,-99,-99,31,27,28,37,33,21,5,53,40,47,26,49,,,
07/06/2015,10,11,29,11,-99,35,23,29,31,22,41,-99,-99,41,40,42,16,29,24,19,28,-99,30,20,60,,,
07/06/2015,11,14,39,27,-99,53,33,25,33,20,38,-99,-99,25,42,51,43,41,19,11,38,-99,37,31,82,,,
07/06/2015,12,19,38,2,-99,47,17,29,37,19,44,-99,-99,45,35,41,40,42,13,10,40,44,59,45,78,,,
07/06/2015,13,20,54,15,-99,35,8,30,15,18,56,-99,-99,53,26,46,45,27,42,25,43,28,52,26,98,,,
07/06/2015,14,22,33,2,-99,38,3,17,1,19,52,-99,-99,42,25,51,39,45,15,25,34,1,62,5,57,,,
07/06/2015,15,31,52,1,-99,28,1,20,30,14,37,-99,-99,25,27,50,30,33,20,1,33,6,32,-99,52,,,
07/06/2015,16,34,36,1,-99,31,55,7,4,20,22,-99,-99,46,25,19,44,43,1,1,40,20,17,-99,91,,,
07/06/2015,17,20,22,20,-99,49,31,27,22,29,39,-99,-99,74,35,28,26,16,16,27,41,5,51,5,44,,,
07/06/2015,18,18,44,21,-99,26,111,37,32,13,35,-99,-99,32,32,36,24,11,26,11,26,30,26,33,68,,,
07/06/2015,19,31,25,30,-99,28,115,22,3,33,17,-99,-99,17,27,23,22,-99,6,1,21,2,27,30,75,,,
07/06/2015,20,20,17,1,-99,10,29,22,32,27,22,-99,-99,17,17,16,29,23,48,84,13,54,23,37,86,,,
07/06/2015,21,20,18,31,-99,10,23,23,68,33,25,-99,-99,27,15,19,17,14,1,1,32,38,14,40,64,,,
07/06/2015,22,19,15,49,-99,27,20,16,45,25,13,-99,-99,22,21,18,26,22,4,10,42,47,21,23,-99,,,
07/06/2015,23,24,14,33,-99,30,20,14,26,23,24,-99,-99,24,22,17,22,12,28,18,42,37,30,15,39,,,
